timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
1769371286.2769861,CLICK,0,0,0,0,24,26,8,12,24,44,30,34
1769371290.2935927,DOWN,0,0,0,0,20,17,33,8,25,30,26,24
1769371294.3096204,RIGHT,3,0,0,0,20,17,33,8,25,30,26,24
1769371298.326332,DOWN,8,0,0,0,13,28,9,12,27,34,38,36
1769371302.3396266,IDLE,3,0,0,0,13,28,9,12,27,34,38,36
1769371306.356011,LEFT,8,0,0,0,30,20,29,24,46,30,24,41
1769371310.3733861,RIGHT,3,0,0,0,30,20,29,24,46,30,24,41
1769371314.3894436,RIGHT,0,0,0,0,40,31,19,19,29,23,29,27
1769371318.4061117,LEFT,0,0,0,0,22,16,30,24,22,50,25,30
1769371322.423284,CLICK,0,0,0,0,16,32,16,16,40,34,29,33
1769371326.4410362,IDLE,0,0,0,0,28,48,29,28,34,27,26,26
1769371330.458382,RIGHT,0,0,0,0,20,29,14,18,43,26,25,38
1769371334.4744554,IDLE,0,0,0,0,20,29,14,18,43,26,25,38
1769371338.492621,UP,0,0,0,0,37,37,23,17,25,33,36,36
1769371342.5108855,IDLE,0,50,41,0,43,23,23,19,28,29,32,37
1769371346.5287821,DOWN,0,0,0,0,23,25,5,19,37,26,20,35
1769371350.5443082,RIGHT,0,0,0,0,23,25,5,19,37,26,20,35
1769371354.5612533,UP,7,0,0,0,23,25,5,19,37,26,20,35
1769371358.5786753,UP,0,0,0,0,23,25,5,19,37,26,20,35
1769371362.5977693,RIGHT,0,0,0,0,23,25,5,19,37,26,20,35
1769371366.6130826,CLICK,4,0,0,0,23,25,5,19,37,26,20,35
1769371370.6314824,IDLE,0,0,0,0,23,25,5,19,37,26,20,35
1769371374.6517708,CLICK,0,0,0,0,23,25,5,19,37,26,20,35
1769371378.6691012,UP,0,0,0,0,23,25,5,19,37,26,20,35
1769371382.686693,DOWN,4,0,0,0,23,25,5,19,37,26,20,35
1769371386.7013707,IDLE,0,0,0,0,23,25,5,19,37,26,20,35
1769371390.7202544,IDLE,0,0,0,0,23,25,5,19,37,26,20,35
1769371394.7390168,LEFT,0,0,0,0,42,28,10,18,30,38,30,38
1769371398.756737,DOWN,3,0,0,0,42,28,10,18,30,38,30,38
1769371402.7770858,CLICK,13,0,0,0,31,46,31,9,35,27,35,31
1769371406.7950432,UP,0,0,0,0,31,46,31,9,35,27,35,31
1769371410.815536,UP,5,0,0,0,31,46,31,9,35,27,35,31
1769371414.8335774,LEFT,6,0,0,0,31,46,31,9,35,27,35,31
1769371418.8499124,IDLE,0,0,0,0,31,46,31,9,35,27,35,31
1769371422.8676078,UP,0,0,0,0,31,46,31,9,35,27,35,31
1769371426.8822925,DOWN,0,48,36,0,20,30,32,16,29,31,40,36
1769371430.9012861,CLICK,5,0,0,0,7,26,17,24,27,20,17,45
1769371434.9214215,UP,0,0,0,0,7,26,17,24,27,20,17,45
1769371438.9410944,LEFT,0,0,0,0,7,26,17,24,27,20,17,45
1769371442.9548357,RIGHT,2,0,0,0,18,21,19,24,22,29,20,43
1769371446.971601,LEFT,0,0,0,0,18,21,19,24,22,29,20,43
1769371450.9902568,LEFT,0,0,0,0,18,21,19,24,22,29,20,43
1769371455.005019,UP,0,0,0,0,18,21,19,24,22,29,20,43
1769371459.021162,LEFT,0,0,0,0,27,37,9,14,35,28,36,38
1769371463.0379431,UP,2,0,0,0,27,37,9,14,35,28,36,38
1769371467.0565856,RIGHT,0,0,0,0,24,29,26,13,35,30,34,32
1769371471.0734322,DOWN,7,0,0,0,18,35,24,13,20,32,37,35
1769371475.090593,CLICK,0,0,0,0,18,35,24,13,20,32,37,35
1769371479.10599,CLICK,0,40,42,0,18,50,29,16,39,25,37,37
1769371483.120608,IDLE,0,0,0,0,26,29,44,31,34,25,33,32
1769371487.1391168,LEFT,5,0,0,0,26,29,44,31,34,25,33,32
1769371491.1568565,LEFT,0,0,0,0,26,29,44,31,34,25,33,32
1769371495.1729429,RIGHT,0,0,0,0,17,45,11,26,37,27,26,35
1769371499.1904497,IDLE,0,59,35,0,35,52,9,22,29,34,42,27
1769371503.208554,RIGHT,2,0,0,0,26,33,15,25,12,30,17,39
1769371507.2260463,CLICK,0,0,0,0,26,33,15,25,12,30,17,39
1769371511.2438,CLICK,1,0,0,0,23,12,33,14,27,17,33,25
1769371515.2616723,DOWN,4,0,0,0,23,12,33,14,27,17,33,25
1769371519.2787893,DOWN,0,0,0,0,14,33,14,13,42,33,27,41
1769371523.296468,DOWN,0,0,0,0,38,19,16,17,30,46,26,40
