timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
1769229571.7708955,DOWN,0,66,36,0,18,31,27,18,39,20,32,20
1769229578.797649,IDLE,0,45,38,0,23,71,44,19,44,36,31,23
1769229585.8270812,LEFT,0,35,34,0,38,44,53,20,67,30,31,27
1769229592.858345,UP,0,37,56,0,21,30,52,38,30,47,36,43
1769229599.8844252,LEFT,0,30,62,0,4,28,44,45,35,48,28,30
1769229606.9107966,LEFT,0,42,45,0,42,51,48,28,30,38,34,31
1769229613.9384332,UP,0,0,0,0,30,63,19,14,20,53,34,35
1769229620.9702327,UP,0,77,23,0,37,37,20,12,35,32,26,38
1769229627.9990046,CLICK,0,44,39,0,41,27,51,35,34,26,41,32
1769229635.027624,IDLE,0,61,34,0,24,36,27,16,32,29,20,30
1769229642.0560105,RIGHT,0,52,34,0,16,31,55,33,52,46,27,17
1769229649.0859456,RIGHT,0,0,0,0,34,70,20,40,35,34,27,29
1769229656.1138048,CLICK,0,71,37,0,15,42,21,15,40,33,36,28
1769229663.1431882,RIGHT,17,0,0,0,50,28,50,24,29,16,31,29
1769229670.1735222,CLICK,8,0,0,0,50,28,50,24,29,16,31,29
1769229677.200353,RIGHT,0,47,42,0,35,31,41,43,27,22,29,26
1769229684.2293468,CLICK,3,0,0,0,3,28,14,33,32,39,43,29
1769229691.2567203,IDLE,0,0,0,0,34,35,35,14,38,38,38,37
1769229698.284069,DOWN,0,0,0,0,25,71,29,29,26,34,22,33
1769229705.3107488,UP,8,0,0,0,50,37,31,25,42,29,37,28
1769229712.337116,CLICK,0,0,0,0,50,37,31,25,42,29,37,28
1769229719.3636608,LEFT,11,0,0,0,77,21,16,24,29,34,28,26
1769229726.391297,LEFT,9,0,0,0,77,21,16,24,29,34,28,26
1769229733.4201653,CLICK,12,0,0,0,40,64,50,35,41,23,30,44
1769229740.4497736,RIGHT,2,0,0,0,29,44,17,45,47,45,31,34
1769229747.4776342,LEFT,0,0,0,0,25,11,25,17,47,49,33,20
1769229754.5101004,DOWN,0,47,48,0,33,45,63,23,56,38,39,28
1769229761.5376182,LEFT,1,0,0,0,19,64,26,38,31,36,44,32
1769229768.567032,UP,3,0,0,0,19,64,26,38,31,36,44,32
1769229775.5932972,DOWN,0,0,0,0,53,64,16,37,33,39,22,25
1769229839.1672528,IDLE,17,0,0,0,18,22,52,24,44,45,26,28
1769229846.1942773,IDLE,24,0,0,0,18,22,52,24,44,45,26,28
1769229853.222463,IDLE,23,0,0,0,18,22,52,24,44,45,26,28
1769229860.2512922,UP,0,40,51,0,8,34,57,52,24,37,36,19
1769229867.2795253,UP,0,0,0,0,7,49,22,49,45,29,30,39
1769229874.3051984,UP,0,0,0,0,38,50,36,21,40,50,39,25
1769229881.330404,IDLE,40,0,0,0,30,79,20,14,29,38,22,32
1769229888.3601906,CLICK,17,0,0,0,30,79,20,14,29,38,22,32
1769229895.3913126,IDLE,36,0,0,0,30,79,20,14,29,38,22,32
1769229902.4193614,CLICK,0,38,57,0,26,38,72,23,48,32,28,30
1769229909.4503093,IDLE,30,0,0,0,53,51,42,29,41,30,25,30
1769229942.0010474,LEFT,47,0,0,0,43,63,41,27,38,37,17,43
1769229949.0294604,IDLE,0,44,50,0,7,42,44,39,48,39,34,27
1769229956.0562716,DOWN,0,56,38,0,23,38,27,37,53,30,26,32
1769229963.082657,RIGHT,0,43,34,0,48,45,62,18,37,53,27,33
1769229970.111999,DOWN,0,0,0,0,25,44,64,33,54,32,34,34
1769229977.1417675,DOWN,0,0,0,0,37,40,24,7,44,18,29,22
1769229984.16866,LEFT,0,0,0,0,41,63,50,40,47,33,29,30
1769229991.1992383,IDLE,10,0,0,0,41,63,50,40,47,33,29,30
1769229998.229467,UP,0,0,0,0,29,65,48,20,22,26,24,31
1769230005.2585735,UP,0,0,0,0,20,65,24,30,11,36,15,32
1769230012.286924,CLICK,0,60,25,0,30,29,44,29,47,35,30,42
1769230019.3167655,UP,0,43,43,0,10,37,50,24,31,38,23,32
1769230026.3435826,CLICK,0,0,0,0,36,51,60,34,28,33,29,21
1769230033.3720198,UP,0,58,27,0,15,61,55,8,40,32,26,38
1769230040.399539,LEFT,0,0,0,0,27,52,25,32,37,32,31,18
1769230047.4253469,IDLE,0,55,42,0,39,53,15,33,27,22,24,25
1769230054.4541636,LEFT,0,0,0,0,14,52,47,30,58,25,46,34
1769230061.4783795,UP,0,0,0,0,24,55,41,30,27,46,34,26
1769230068.5107577,UP,0,52,54,0,40,7,10,46,68,46,23,26
1769230075.5377965,UP,0,0,0,0,16,36,56,31,50,32,46,25
1769230082.5655878,DOWN,0,46,42,0,55,64,50,23,40,26,36,37
1769230089.5939486,RIGHT,0,63,29,0,33,37,32,27,29,34,27,33
1769230096.6221194,LEFT,0,0,0,0,28,42,24,46,46,29,26,19
1769230103.6497452,UP,0,44,58,0,16,43,39,20,49,26,48,42
1769230110.678394,UP,0,56,43,0,43,39,33,23,51,14,29,49
