timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,beta_alpha_ratio,alpha_theta_ratio,engagement_ratio,norm_att,norm_med,norm_beta
1769446281.5037298,IDLE,0,44,40,0,20,49,30,49,30,47,30,31,0.9625,1.58,0.5968992248062015,-3.049999999999997,-2.5799999999999983,3.710000000000008
1769446283.5088382,IDLE,0,41,45,0,27,42,32,45,29,57,34,31,1.1025641025641026,1.7906976744186047,0.7166666666666667,-6.049999999999997,2.4200000000000017,12.710000000000008
1769446285.5143836,IDLE,0,53,42,0,35,23,52,9,53,28,34,37,1.3064516129032258,2.5416666666666665,0.9529411764705882,5.950000000000003,-0.5799999999999983,7.710000000000008
1769446287.5196068,IDLE,0,32,44,0,17,39,35,52,42,23,27,43,0.7386363636363636,2.175,0.5118110236220472,-15.049999999999995,1.4200000000000017,-8.289999999999992
1769446289.5264547,IDLE,0,32,44,0,17,39,35,52,42,23,27,43,0.7386363636363636,2.175,0.5118110236220472,-15.049999999999995,1.4200000000000017,-8.289999999999992
1769446291.5326204,IDLE,0,48,47,0,17,24,37,29,56,41,33,30,1.4477611940298507,2.64,1.065934065934066,0.9500000000000028,4.420000000000002,23.710000000000008
1769446293.5385718,IDLE,0,56,32,0,43,14,38,12,28,32,36,39,1.1764705882352942,3.333333333333333,0.9230769230769232,8.950000000000003,-10.579999999999998,-13.289999999999992
1769446295.543811,IDLE,0,81,22,0,14,17,19,8,30,31,22,32,2.1785714285714284,1.5,1.3555555555555556,33.95,-20.58,-12.289999999999992
1769446297.5489492,IDLE,0,65,28,0,16,16,12,27,21,32,36,23,1.325,2.294117647058824,0.9464285714285714,17.950000000000003,-14.579999999999998,-20.289999999999992
1769446299.5536115,IDLE,0,54,29,0,17,51,15,47,44,38,39,26,1.3015873015873016,1.1923076923076923,0.7192982456140351,6.950000000000003,-13.579999999999998,8.710000000000008
1769446253.73617,LEFT,0,38,49,0,40,47,43,46,43,39,27,53,0.9111111111111112,1.8541666666666667,0.5985401459854015,-9.049999999999995,6.420000000000002,8.710000000000008
1769446255.7399693,LEFT,0,38,44,0,29,15,46,39,34,51,31,24,0.9883720930232558,5.3125,0.8415841584158416,-9.049999999999995,1.4200000000000017,11.710000000000008
1769446257.7446246,LEFT,0,46,46,0,34,59,31,21,31,32,38,30,1.1886792452830188,0.8666666666666667,0.5625,-1.0499999999999972,3.4200000000000017,-10.289999999999992
1769446259.7496445,LEFT,0,41,45,0,23,41,24,36,37,45,16,35,1.3442622950819672,1.4285714285714286,0.803921568627451,-6.049999999999997,2.4200000000000017,8.710000000000008
1769446261.754842,LEFT,0,56,42,0,12,35,5,31,31,32,29,51,1.7027027027027026,1.0,0.875,8.950000000000003,-0.5799999999999983,-10.289999999999992
1769446263.7597752,LEFT,0,67,34,0,21,25,18,22,46,38,29,40,2.048780487804878,1.5384615384615383,1.2727272727272727,19.950000000000003,-8.579999999999998,10.710000000000008
1769446265.7664113,LEFT,0,66,27,0,40,27,20,19,42,45,27,26,2.175,1.3928571428571428,1.2985074626865671,18.950000000000003,-15.579999999999998,13.710000000000008
1769446267.7709053,LEFT,0,59,27,0,37,64,31,19,26,34,27,21,1.1764705882352942,0.7692307692307693,0.5217391304347826,11.950000000000005,-15.579999999999998,-13.289999999999992
1769446269.7756405,LEFT,0,59,28,0,76,14,25,25,25,38,43,50,1.2352941176470589,3.333333333333333,0.9692307692307692,11.950000000000005,-14.579999999999998,-10.289999999999992
1769446271.7804084,LEFT,0,64,30,0,53,54,25,18,32,40,21,22,1.6363636363636365,0.7818181818181819,0.7346938775510204,16.950000000000003,-12.579999999999998,-1.289999999999992
1769446225.798158,RIGHT,0,66,29,0,36,38,23,23,54,20,22,38,1.574468085106383,1.1794871794871795,0.8705882352941177,18.950000000000003,-13.579999999999998,0.710000000000008
1769446227.8044963,RIGHT,0,65,28,0,52,39,25,18,50,44,32,30,2.136363636363636,1.075,1.1325301204819278,17.950000000000003,-14.579999999999998,20.710000000000008
1769446229.810095,RIGHT,0,56,28,0,59,45,22,35,40,34,48,36,1.2758620689655171,1.2391304347826086,0.7184466019417476,8.950000000000003,-14.579999999999998,0.710000000000008
1769446231.814772,RIGHT,0,57,35,0,16,28,44,19,40,31,17,38,1.109375,2.1724137931034484,0.7717391304347826,9.950000000000005,-7.579999999999998,-2.289999999999992
1769446233.8193214,RIGHT,0,58,40,0,19,24,37,10,29,33,38,32,1.2916666666666667,1.88,0.8611111111111112,10.950000000000005,-2.5799999999999983,-11.289999999999992
1769446235.827377,RIGHT,0,69,30,0,26,40,6,21,49,37,27,30,3.071428571428572,0.6585365853658537,1.2647058823529411,21.950000000000003,-12.579999999999998,12.710000000000008
1769446237.833596,RIGHT,0,54,27,0,21,46,37,31,34,22,33,29,0.8115942028985508,1.446808510638298,0.4869565217391304,6.950000000000003,-15.579999999999998,-17.289999999999992
1769446239.8395689,RIGHT,0,42,36,0,20,14,47,33,41,31,38,24,0.8888888888888888,5.333333333333333,0.7578947368421053,-5.049999999999997,-6.579999999999998,-1.289999999999992
1769446241.845188,RIGHT,0,73,34,0,12,33,15,21,32,31,43,51,1.7027027027027026,1.0588235294117647,0.9,25.950000000000003,-8.579999999999998,-10.289999999999992
1769446243.85217,RIGHT,0,49,39,0,14,22,34,24,32,46,16,54,1.3220338983050848,2.5217391304347827,0.9629629629629628,1.9500000000000028,-3.5799999999999983,4.710000000000008
1769447036.7600043,DOWN,0,54,45,0,40,50,29,24,42,27,42,55,1.2777777777777777,1.03921568627451,0.6634615384615384,39.05,32.02,-2.0600000000000023
1769447038.7660575,DOWN,0,45,42,0,18,26,39,26,46,30,41,27,1.1515151515151516,2.4074074074074074,0.8260869565217391,30.05,29.02,4.939999999999998
1769447040.7705436,DOWN,0,46,48,0,12,22,29,26,46,10,34,38,1.0,2.391304347826087,0.717948717948718,31.05,35.02,-15.060000000000002
1769447042.7748623,DOWN,0,50,49,0,41,40,30,18,30,33,27,38,1.2857142857142858,1.170731707317073,0.7078651685393258,35.05,36.02,-8.060000000000002
1769447044.7797616,DOWN,0,44,45,0,21,34,30,36,25,25,23,35,0.746268656716418,1.8857142857142857,0.495049504950495,29.05,32.02,-21.06
1769447046.7836478,DOWN,0,31,51,0,17,27,46,23,21,38,28,34,0.8428571428571429,2.4642857142857144,0.6082474226804123,16.05,38.02,-12.060000000000002
1769447048.7887332,DOWN,0,41,48,0,22,36,33,24,28,43,30,17,1.2241379310344829,1.5405405405405406,0.7553191489361702,26.05,35.02,-0.0600000000000022
1769447050.7929902,DOWN,0,44,45,0,28,21,49,26,46,42,32,35,1.1578947368421053,3.409090909090909,0.9072164948453608,29.05,32.02,16.939999999999998
1769447052.7977283,DOWN,0,43,42,0,6,36,23,46,27,27,39,27,0.7714285714285715,1.864864864864865,0.5094339622641509,28.05,29.02,-17.060000000000002
1769447054.8028135,DOWN,0,61,43,0,8,23,10,23,40,33,36,36,2.147058823529412,1.375,1.280701754385965,46.05,30.02,1.9399999999999975
1769447056.8109715,DOWN,0,63,41,0,8,19,13,23,31,38,31,33,1.864864864864865,1.8,1.2321428571428572,48.05,28.02,-2.0600000000000023
1769447058.8145716,DOWN,0,69,29,0,12,35,14,13,28,34,37,26,2.2142857142857144,0.75,0.984126984126984,54.05,16.02,-9.060000000000002
1769447060.8198836,DOWN,0,44,37,0,26,3,25,30,39,41,24,17,1.4285714285714286,13.75,1.3559322033898304,29.05,24.02,8.939999999999998
1769447062.8248374,DOWN,0,45,46,0,12,26,40,26,40,36,29,34,1.1343283582089552,2.4444444444444446,0.8172043010752689,30.05,33.02,4.939999999999998
1769447064.8300805,DOWN,0,50,45,0,28,48,15,37,41,27,34,39,1.2830188679245282,1.0612244897959184,0.6732673267326733,35.05,32.02,-3.0600000000000023
1769447066.835276,DOWN,0,62,39,0,8,40,7,18,25,24,19,31,1.8846153846153848,0.6097560975609756,0.7424242424242424,47.05,26.02,-22.06
1769447068.8400502,DOWN,0,53,38,0,22,25,26,15,35,23,26,35,1.380952380952381,1.5769230769230769,0.8656716417910447,38.05,25.02,-13.060000000000002
1769447070.843942,DOWN,0,63,37,0,29,59,15,18,39,35,25,48,2.176470588235294,0.55,0.7956989247311828,48.05,24.02,2.9399999999999977
1769447072.8487272,DOWN,0,60,33,0,42,46,22,21,47,28,21,32,1.7045454545454546,0.9148936170212766,0.8333333333333334,45.05,20.02,3.9399999999999977
1769447074.852851,DOWN,0,53,35,0,20,12,22,21,28,51,29,32,1.7954545454545454,3.3076923076923075,1.4107142857142858,38.05,22.02,7.939999999999998
1769447076.8590488,DOWN,0,46,39,0,7,28,18,42,33,27,40,50,0.9836065573770492,2.0689655172413794,0.6741573033707865,31.05,26.02,-11.060000000000002
1769447078.865216,DOWN,0,52,41,0,25,23,33,18,18,25,31,30,0.8269230769230769,2.125,0.5733333333333334,37.05,28.02,-28.06
1769447080.8702302,DOWN,0,56,39,0,13,55,21,26,24,34,26,37,1.2083333333333333,0.8392857142857143,0.5631067961165048,41.05,26.02,-13.060000000000002
1769447082.875254,DOWN,0,50,35,0,23,46,19,34,39,24,31,35,1.1666666666666667,1.127659574468085,0.63,35.05,22.02,-8.060000000000002
1769447084.8801756,DOWN,0,60,33,0,48,30,19,22,25,14,42,33,0.9285714285714286,1.3225806451612905,0.5416666666666666,45.05,20.02,-32.06
1769447086.8844044,DOWN,0,44,37,0,22,24,41,26,41,39,31,42,1.1764705882352942,2.68,0.8695652173913043,29.05,24.02,8.939999999999998
1769447097.5699446,IDLE,0,58,36,0,15,56,28,15,28,23,24,45,1.1590909090909092,0.7543859649122807,0.51,43.05,23.02,-20.06
1769447099.5753012,IDLE,0,49,44,0,24,33,8,34,30,36,27,27,1.5348837209302326,1.2352941176470589,0.868421052631579,34.05,31.02,-5.060000000000002
1769447101.5805297,IDLE,0,47,41,0,23,70,42,31,24,37,27,30,0.8243243243243243,1.028169014084507,0.4236111111111111,32.05,28.02,-10.060000000000002
1769447103.5853024,IDLE,0,51,42,0,35,27,35,13,36,24,29,40,1.2244897959183674,1.7142857142857142,0.7894736842105263,36.05,29.02,-11.060000000000002
1769447105.591136,IDLE,0,44,48,0,37,22,37,16,41,25,23,35,1.2222222222222223,2.3043478260869565,0.868421052631579,29.05,35.02,-5.060000000000002
1769447107.5950391,IDLE,0,44,50,0,6,41,40,16,41,22,26,26,1.105263157894737,1.3333333333333333,0.6428571428571429,29.05,37.02,-8.060000000000002
1769447109.6001952,IDLE,0,54,46,0,34,25,31,22,28,30,24,32,1.0740740740740742,2.0384615384615383,0.7341772151898734,39.05,33.02,-13.060000000000002
1769447111.605085,IDLE,0,38,48,0,24,22,48,17,46,22,50,23,1.0303030303030305,2.8260869565217392,0.7727272727272727,23.05,35.02,-3.0600000000000023
1769447113.610705,IDLE,0,44,41,0,20,55,33,25,40,41,42,24,1.3728813559322033,1.0357142857142858,0.7105263157894737,29.05,28.02,9.939999999999998
1769447115.6151428,IDLE,0,52,43,0,28,79,29,21,27,17,31,31,0.8627450980392157,0.625,0.3384615384615385,37.05,30.02,-27.06
1769447117.6217222,IDLE,0,62,30,0,33,42,31,20,34,42,21,44,1.4615384615384617,1.186046511627907,0.8085106382978723,47.05,17.02,4.939999999999998
1769447119.626833,IDLE,0,48,34,0,32,43,46,5,50,34,26,25,1.6153846153846154,1.1590909090909092,0.8842105263157894,33.05,21.02,12.939999999999998
1769447121.6318543,IDLE,0,55,36,0,21,19,29,33,52,25,36,43,1.2222222222222223,3.1,0.9390243902439024,40.05,23.02,5.939999999999998
1769447123.6373389,IDLE,0,33,45,0,17,33,31,40,40,48,32,32,1.2222222222222223,2.088235294117647,0.8380952380952381,18.05,32.02,16.939999999999998
1769447125.6420057,IDLE,0,39,48,0,28,49,38,36,32,32,24,42,0.8533333333333334,1.48,0.5161290322580645,24.05,35.02,-7.060000000000002
1769447127.6481223,IDLE,0,41,59,0,31,27,10,30,28,47,28,28,1.829268292682927,1.4285714285714286,1.1029411764705883,26.05,46.02,3.9399999999999977
1769447129.6541584,IDLE,0,40,54,0,12,50,33,40,48,30,42,29,1.054054054054054,1.431372549019608,0.6290322580645161,25.05,41.02,6.939999999999998
1769447131.6587148,IDLE,0,43,44,0,34,23,38,34,42,20,32,25,0.8493150684931506,3.0,0.6458333333333334,28.05,31.02,-9.060000000000002
1769447133.6636484,IDLE,0,43,45,0,23,30,44,22,39,40,32,28,1.1791044776119404,2.129032258064516,0.8144329896907216,28.05,32.02,7.939999999999998
1769447135.6680863,IDLE,0,58,45,0,39,46,18,7,38,43,39,32,3.1153846153846154,0.5319148936170213,1.125,43.05,32.02,9.939999999999998
1769447137.6742518,IDLE,0,43,46,0,38,50,30,27,34,36,29,28,1.206896551724138,1.1176470588235294,0.6481481481481481,28.05,33.02,-1.0600000000000025
1769447139.6785784,IDLE,0,56,38,0,16,27,26,13,14,36,20,37,1.25,1.3928571428571428,0.746268656716418,41.05,25.02,-21.06
1769447141.6843922,IDLE,0,55,41,0,21,25,15,24,44,39,45,32,2.075,1.5,1.2769230769230768,40.05,28.02,11.939999999999998
1769447143.6889422,IDLE,0,45,46,0,17,53,24,34,29,33,30,24,1.0508474576271187,1.0740740740740742,0.5535714285714286,30.05,33.02,-9.060000000000002
1769447145.6939745,IDLE,0,39,49,0,19,41,41,27,29,42,34,28,1.0289855072463767,1.619047619047619,0.6454545454545455,24.05,36.02,-0.0600000000000022
1769447147.698485,IDLE,0,66,38,0,42,35,18,8,42,39,34,38,3.0,0.7222222222222222,1.3064516129032258,51.05,25.02,9.939999999999998
1769446909.133886,LEFT,0,53,44,0,15,52,15,36,31,27,35,40,1.1153846153846154,0.9622641509433962,0.5576923076923077,38.05,31.02,-13.060000000000002
1769446911.140161,LEFT,0,54,37,0,28,43,20,32,16,22,49,40,0.7169811320754716,1.181818181818182,0.3958333333333333,39.05,24.02,-33.06
1769446913.1457443,LEFT,0,61,28,0,20,39,22,10,46,38,23,47,2.5454545454545454,0.8,1.1666666666666667,46.05,15.02,12.939999999999998
1769446915.1519654,LEFT,0,57,30,0,14,33,35,22,25,54,40,28,1.362068965517241,1.6764705882352942,0.8681318681318682,42.05,17.02,7.939999999999998
1769446917.15686,LEFT,0,50,44,0,37,47,27,28,29,36,37,31,1.1607142857142858,1.1458333333333333,0.6310679611650486,35.05,31.02,-6.060000000000002
1769446919.1612916,LEFT,0,54,42,0,19,32,24,36,25,37,29,21,1.0163934426229508,1.818181818181818,0.6666666666666666,39.05,29.02,-9.060000000000002
1769446921.1655438,LEFT,0,57,35,0,9,57,27,8,47,24,39,18,1.9722222222222223,0.603448275862069,0.7634408602150538,42.05,22.02,-0.0600000000000022
1769446923.1706426,LEFT,0,50,35,0,11,59,14,36,41,30,24,26,1.392156862745098,0.8333333333333334,0.6454545454545455,35.05,22.02,-0.0600000000000022
1769446925.1760924,LEFT,0,73,31,0,19,15,14,13,29,25,31,30,1.9285714285714288,1.6875,1.255813953488372,58.05,18.02,-17.060000000000002
1769446927.1800983,LEFT,0,37,34,0,32,36,42,19,46,35,37,47,1.3064516129032258,1.648648648648649,0.826530612244898,22.05,21.02,9.939999999999998
1769446929.1859682,LEFT,0,55,39,0,9,45,19,27,39,36,30,28,1.5957446808510638,1.0,0.8152173913043478,40.05,26.02,3.9399999999999977
1769446931.1913974,LEFT,0,29,61,0,24,37,34,24,26,41,25,35,1.1355932203389831,1.5263157894736843,0.6979166666666666,14.05,48.02,-4.060000000000002
1769446933.194804,LEFT,0,47,48,0,20,47,38,17,41,23,42,31,1.1428571428571428,1.1458333333333333,0.6213592233009708,32.05,35.02,-7.060000000000002
1769446935.199583,LEFT,0,63,38,0,27,26,9,23,31,19,38,40,1.5151515151515151,1.1851851851851851,0.847457627118644,48.05,25.02,-21.06
1769446937.2040634,LEFT,0,36,43,0,21,41,16,29,42,22,44,33,1.391304347826087,1.0714285714285714,0.735632183908046,21.05,30.02,-7.060000000000002
1769446939.209818,LEFT,0,48,42,0,41,19,14,34,28,46,36,42,1.510204081632653,2.4,1.088235294117647,33.05,29.02,2.9399999999999977
1769446941.2156868,LEFT,0,58,42,0,22,44,8,32,33,36,31,39,1.6829268292682926,0.8888888888888888,0.8117647058823529,43.05,29.02,-2.0600000000000023
1769446943.2199872,LEFT,0,53,37,0,23,36,23,19,35,38,29,26,1.697674418604651,1.135135135135135,0.9240506329113924,38.05,24.02,1.9399999999999975
1769446945.227008,LEFT,0,47,42,0,24,34,41,33,30,23,33,46,0.7066666666666667,2.1142857142857143,0.4862385321100917,32.05,29.02,-18.06
1769446947.2322574,LEFT,0,53,45,0,23,35,22,22,31,39,25,32,1.5555555555555556,1.2222222222222223,0.875,38.05,32.02,-1.0600000000000025
1769446949.236769,LEFT,0,25,50,0,29,39,59,29,40,27,29,27,0.7528089887640449,2.2,0.5234375,10.05,37.02,-4.060000000000002
1769446951.240837,LEFT,0,43,48,0,23,27,37,37,37,48,25,35,1.1333333333333333,2.642857142857143,0.8333333333333334,28.05,35.02,13.939999999999998
1769446953.247437,LEFT,0,56,48,0,13,44,20,25,38,39,29,24,1.673913043478261,1.0,0.8555555555555555,41.05,35.02,5.939999999999998
1769446955.2524846,LEFT,0,52,36,0,32,20,25,18,37,43,35,35,1.818181818181818,2.0476190476190474,1.25,37.05,23.02,8.939999999999998
1769446957.2568083,LEFT,0,41,39,0,24,32,19,32,41,29,26,43,1.3461538461538465,1.5454545454545454,0.8333333333333334,26.05,26.02,-1.0600000000000025
1769446959.260295,LEFT,0,54,42,0,14,32,23,20,21,27,34,31,1.0909090909090908,1.303030303030303,0.631578947368421,39.05,29.02,-23.06
1769446821.7002964,RIGHT,4,0,0,0,9,30,39,40,36,18,24,41,0.675,2.548387096774193,0.4909090909090909,-14.95,-12.98,-17.060000000000002
1769446823.7064767,RIGHT,0,0,0,0,9,30,39,40,36,18,24,41,0.675,2.548387096774193,0.4909090909090909,-14.95,-12.98,-17.060000000000002
1769446825.7127132,RIGHT,0,0,0,0,23,16,27,36,49,20,25,38,1.078125,3.7058823529411766,0.8625,-14.95,-12.98,-2.0600000000000023
1769446827.7172832,RIGHT,0,59,45,0,33,31,21,19,22,30,31,28,1.2682926829268293,1.25,0.7222222222222222,44.05,32.02,-19.06
1769446829.7221906,RIGHT,0,54,42,0,30,28,13,25,29,28,24,29,1.4615384615384617,1.3103448275862069,0.8507462686567164,39.05,29.02,-14.060000000000002
1769446831.7276218,RIGHT,0,59,35,0,23,19,22,7,33,32,28,33,2.1666666666666665,1.45,1.326530612244898,44.05,22.02,-6.060000000000002
1769446833.7358196,RIGHT,8,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446835.7411387,RIGHT,6,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446837.7465856,RIGHT,0,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446839.75098,RIGHT,2,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446841.7556047,RIGHT,6,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446843.760491,RIGHT,0,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446845.766111,RIGHT,5,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446847.770255,RIGHT,0,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446849.7764108,RIGHT,3,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446851.7839816,RIGHT,0,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446853.7878094,RIGHT,0,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446855.793064,RIGHT,3,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446857.7972803,RIGHT,0,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446859.8009849,RIGHT,0,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446861.8055663,RIGHT,3,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446863.8111715,RIGHT,0,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446865.817078,RIGHT,0,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446867.82378,RIGHT,3,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446869.8286865,RIGHT,0,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446871.8342464,RIGHT,4,0,0,0,9,17,16,24,28,27,22,24,1.3414634146341464,2.2222222222222223,0.9482758620689656,-14.95,-12.98,-16.060000000000002
1769446977.8145142,UP,0,51,42,0,24,14,29,29,38,28,31,40,1.11864406779661,3.8666666666666663,0.9041095890410958,36.05,29.02,-5.060000000000002
1769446979.8197746,UP,0,53,35,0,18,19,33,25,30,29,42,27,1.0,2.9,0.7564102564102564,38.05,22.02,-12.060000000000002
1769446981.8245254,UP,0,49,37,0,17,46,36,18,38,36,26,45,1.3454545454545457,1.148936170212766,0.7326732673267327,34.05,24.02,2.9399999999999977
1769446983.8306332,UP,0,49,38,0,12,44,30,17,56,26,49,36,1.7083333333333333,1.0444444444444445,0.8913043478260869,34.05,25.02,10.939999999999998
1769446985.8353293,UP,0,55,37,0,31,30,31,24,36,23,31,28,1.0535714285714286,1.7741935483870968,0.686046511627907,40.05,24.02,-12.060000000000002
1769446987.8415833,UP,0,54,39,0,44,37,13,29,21,32,36,29,1.2325581395348837,1.105263157894737,0.6625,39.05,26.02,-18.06
