timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,norm_att,norm_med,norm_alpha,norm_beta
1769538066.1997197,DOWN,0,0,41,0,0,0,0,0,0,0,0,0,0,-9,0,0
1769538066.401466,DOWN,0,0,41,0,0,0,0,0,0,0,0,0,0,-9,0,0
1769538066.6022034,DOWN,0,0,46,0,0,0,0,0,0,0,0,0,0,-4,0,0
1769538066.8032224,DOWN,0,0,46,0,0,0,0,0,0,0,0,0,0,-4,0,0
1769538067.00409,DOWN,0,0,46,0,0,0,0,0,0,0,0,0,0,-4,0,0
1769538067.2052956,DOWN,0,0,46,0,0,0,0,0,0,0,0,0,0,-4,0,0
1769538067.4061353,DOWN,0,0,46,0,0,0,0,0,0,0,0,0,0,-4,0,0
1769538067.607101,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,-5,0,0
1769538067.808426,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,-5,0,0
1769538068.009998,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,-5,0,0
1769538068.2110834,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,-5,0,0
1769538068.412304,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,-5,0,0
1769538068.6133318,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,-5,0,0
1769538068.8142867,DOWN,0,0,41,0,0,0,0,0,0,0,0,0,0,-9,0,0
1769538069.0152931,DOWN,0,0,41,0,0,0,0,0,0,0,0,0,0,-9,0,0
1769538069.21637,DOWN,0,0,41,0,0,0,0,0,0,0,0,0,0,-9,0,0
1769538069.4176037,DOWN,0,0,41,0,0,0,0,0,0,0,0,0,0,-9,0,0
1769538069.6185727,DOWN,0,0,41,0,0,0,0,0,0,0,0,0,0,-9,0,0
1769538069.819715,DOWN,0,0,36,0,0,0,0,0,0,0,0,0,0,-14,0,0
1769538070.0211103,DOWN,0,0,36,0,0,0,0,0,0,0,0,0,0,-14,0,0
1769538070.221918,DOWN,0,0,36,0,0,0,0,0,0,0,0,0,0,-14,0,0
1769538070.4228983,DOWN,0,0,36,0,0,0,0,0,0,0,0,0,0,-14,0,0
1769538070.6237526,DOWN,0,0,36,0,0,0,0,0,0,0,0,0,0,-14,0,0
1769538070.8248143,DOWN,0,0,36,0,0,0,0,0,0,0,0,0,0,-14,0,0
1769538071.0262725,DOWN,0,0,36,0,0,0,0,0,0,0,0,0,0,-14,0,0
1769538071.2274268,DOWN,0,0,36,0,0,0,0,0,0,0,0,0,0,-14,0,0
1769538071.4281487,DOWN,0,0,36,0,0,0,0,0,0,0,0,0,0,-14,0,0
1769538071.6291397,DOWN,0,0,36,0,0,0,0,0,0,0,0,0,0,-14,0,0
1769538071.830268,DOWN,0,0,40,0,0,0,0,0,0,0,0,0,0,-10,0,0
1769538072.031585,DOWN,0,0,40,0,0,0,0,0,0,0,0,0,0,-10,0,0
1769538072.2321975,DOWN,0,0,40,0,0,0,0,0,0,0,0,0,0,-10,0,0
1769538072.4331956,DOWN,0,0,40,0,0,0,0,0,0,0,0,0,0,-10,0,0
1769538072.634601,DOWN,0,0,40,0,0,0,0,0,0,0,0,0,0,-10,0,0
1769538072.835518,DOWN,0,0,40,0,0,0,0,0,0,0,0,0,0,-10,0,0
1769538073.0366216,DOWN,0,0,48,0,0,0,0,0,0,0,0,0,0,-2,0,0
1769538073.237774,DOWN,0,0,48,0,0,0,0,0,0,0,0,0,0,-2,0,0
1769538073.4389215,DOWN,0,0,48,0,0,0,0,0,0,0,0,0,0,-2,0,0
1769538073.6399882,DOWN,0,0,48,0,0,0,0,0,0,0,0,0,0,-2,0,0
1769538073.8407562,DOWN,0,0,48,0,0,0,0,0,0,0,0,0,0,-2,0,0
1769538074.0419323,DOWN,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0
1769538074.2428305,DOWN,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0
1769538074.443928,DOWN,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0
1769538074.6452744,DOWN,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0
1769538074.8466098,DOWN,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0
1769538075.0476813,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
1769538075.2491953,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
1769538075.4500828,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
1769538075.6512876,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
1769538075.8522444,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
1769538076.0534763,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
1769538076.2545786,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
1769538076.455653,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
1769538076.6568906,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
1769538076.857853,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
1769538077.058896,DOWN,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0
